id	width	width2	name	numFrames	flags	frameDelay	frameLength
StoneCurseShatter	128	32	shatter1	1		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
BigExplosion	160	48	bigexp	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Inferno	96	16	inferno	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ThinLightning	96	16	thinlght	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
BloodStar	128	32	flare	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
BloodStarExplosion	128	32	flareexp	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
MagmaBall	128	32	magball	8	MonsterOwned	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Krull	96	16	krull	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ChargedBolt	64	0	miniltng	1		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
HolyBolt	96	16	holy	16		1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
HolyBoltExplosion	160	48	holyexpl	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
LightningArrow	96	16	larrow	16		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FireArrowExplosion	64	0		1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Acid	96	16	acidbf	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AcidSplat	96	16	acidspla	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AcidPuddle	96	16	acidpud	2	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etherealize	96	16		1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elemental	96	16	firerun	8		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Resurrect	96	16	ressur1	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
BoneSpirit	96	16	sklball	9		1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	16,16,16,16,16,16,16,16,8,0,0,0,0,0,0,0
RedPortal	96	16	rportal	2		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
DiabloApocalypseBoom	160	48	fireplar	1	MonsterOwned	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
BloodStarBlue	96	16	scubmisb	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
BloodStarBlueExplosion	128	32	scbsexpb	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
BloodStarYellow	96	16	scubmisc	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
BloodStarYellowExplosion	128	32	scbsexpc	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
BloodStarRed	96	16	scubmisd	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
BloodStarRedExplosion	128	32	scbsexpd	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
HorkSpawn	96	16	spawns	8	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Reflect	160	64	reflect	1	NotAnimated	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OrangeFlare	96	8	ms_ora	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
BlueFlare	96	8	ms_bla	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
RedFlare	96	8	ms_reb	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
YellowFlare	96	8	ms_yeb	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Rune	96	8	rglows1	1		0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
YellowFlareExplosion	220	78	ex_yel2	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
BlueFlareExplosion	212	86	ex_blu2	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
RedFlareExplosion	292	114	ex_red3	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
BlueFlare2	96	8	ms_blb	16	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
OrangeFlareExplosion	96	-12	ex_ora1	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
BlueFlareExplosion2	292	114	ex_blu3	1	MonsterOwned	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
