id	flags	path
Gillian38	Stream	sfx\towners\bmaid38.wav
Gillian39	Stream	sfx\towners\bmaid39.wav
Gillian40	Stream	sfx\towners\bmaid40.wav
Griswold1	Stream	sfx\towners\bsmith01.wav
Griswold2	Stream	sfx\towners\bsmith02.wav
Griswold3	Stream	sfx\towners\bsmith03.wav
Griswold4	Stream	sfx\towners\bsmith04.wav
Griswold5	Stream	sfx\towners\bsmith05.wav
Griswold6	Stream	sfx\towners\bsmith06.wav
Griswold7	Stream	sfx\towners\bsmith07.wav
Griswold8	Stream	sfx\towners\bsmith08.wav
Griswold9	Stream	sfx\towners\bsmith09.wav
Griswold10	Stream	sfx\towners\bsmith10.wav
Griswold12	Stream	sfx\towners\bsmith12.wav
Griswold13	Stream	sfx\towners\bsmith13.wav
Griswold14	Stream	sfx\towners\bsmith14.wav
Griswold15	Stream	sfx\towners\bsmith15.wav
Griswold16	Stream	sfx\towners\bsmith16.wav
Griswold17	Stream	sfx\towners\bsmith17.wav
Griswold18	Stream	sfx\towners\bsmith18.wav
Griswold19	Stream	sfx\towners\bsmith19.wav
Griswold20	Stream	sfx\towners\bsmith20.wav
Griswold21	Stream	sfx\towners\bsmith21.wav
Griswold22	Stream	sfx\towners\bsmith22.wav
Griswold23	Stream	sfx\towners\bsmith23.wav
Griswold24	Stream	sfx\towners\bsmith24.wav
Griswold25	Stream	sfx\towners\bsmith25.wav
Griswold26	Stream	sfx\towners\bsmith26.wav
Griswold27	Stream	sfx\towners\bsmith27.wav
Griswold28	Stream	sfx\towners\bsmith28.wav
Griswold29	Stream	sfx\towners\bsmith29.wav
Griswold30	Stream	sfx\towners\bsmith30.wav
Griswold31	Stream	sfx\towners\bsmith31.wav
Griswold32	Stream	sfx\towners\bsmith32.wav
Griswold33	Stream	sfx\towners\bsmith33.wav
Griswold34	Stream	sfx\towners\bsmith34.wav
Griswold35	Stream	sfx\towners\bsmith35.wav
Griswold36	Stream	sfx\towners\bsmith36.wav
Griswold37	Stream	sfx\towners\bsmith37.wav
Griswold38	Stream	sfx\towners\bsmith38.wav
Griswold39	Stream	sfx\towners\bsmith39.wav
Griswold40	Stream	sfx\towners\bsmith40.wav
Griswold41	Stream	sfx\towners\bsmith41.wav
Griswold42	Stream	sfx\towners\bsmith42.wav
Griswold43	Stream	sfx\towners\bsmith43.wav
Griswold44	Stream	sfx\towners\bsmith44.wav
Griswold45	Stream	sfx\towners\bsmith45.wav
Griswold46	Stream	sfx\towners\bsmith46.wav
Griswold47	Stream	sfx\towners\bsmith47.wav
Griswold48	Stream	sfx\towners\bsmith48.wav
Griswold49	Stream	sfx\towners\bsmith49.wav
Griswold50	Stream	sfx\towners\bsmith50.wav
Griswold51	Stream	sfx\towners\bsmith51.wav
Griswold52	Stream	sfx\towners\bsmith52.wav
Griswold53	Stream	sfx\towners\bsmith53.wav
Griswold55	Stream	sfx\towners\bsmith55.wav
Griswold56	Stream	sfx\towners\bsmith56.wav
Cow1	Misc	sfx\towners\cow1.wav
Cow2	Misc	sfx\towners\cow2.wav
Pig	Misc,Hellfire	sfx\towners\cow7.wav
WoundedTownsmanOld	Stream	sfx\towners\deadguy2.wav
Farnham1	Stream	sfx\towners\drunk01.wav
Farnham2	Stream	sfx\towners\drunk02.wav
Farnham3	Stream	sfx\towners\drunk03.wav
Farnham4	Stream	sfx\towners\drunk04.wav
Farnham5	Stream	sfx\towners\drunk05.wav
Farnham6	Stream	sfx\towners\drunk06.wav
Farnham7	Stream	sfx\towners\drunk07.wav
Farnham8	Stream	sfx\towners\drunk08.wav
Farnham9	Stream	sfx\towners\drunk09.wav
Farnham10	Stream	sfx\towners\drunk10.wav
Farnham11	Stream	sfx\towners\drunk11.wav
Farnham12	Stream	sfx\towners\drunk12.wav
Farnham13	Stream	sfx\towners\drunk13.wav
Farnham14	Stream	sfx\towners\drunk14.wav
Farnham15	Stream	sfx\towners\drunk15.wav
Farnham16	Stream	sfx\towners\drunk16.wav
Farnham17	Stream	sfx\towners\drunk17.wav
Farnham18	Stream	sfx\towners\drunk18.wav
Farnham19	Stream	sfx\towners\drunk19.wav
Farnham20	Stream	sfx\towners\drunk20.wav
Farnham21	Stream	sfx\towners\drunk21.wav
Farnham22	Stream	sfx\towners\drunk22.wav
Farnham23	Stream	sfx\towners\drunk23.wav
Farnham24	Stream	sfx\towners\drunk24.wav
Farnham25	Stream	sfx\towners\drunk25.wav
Farnham26	Stream	sfx\towners\drunk26.wav
Farnham27	Stream	sfx\towners\drunk27.wav
Farnham28	Stream	sfx\towners\drunk28.wav
Farnham29	Stream	sfx\towners\drunk29.wav
Farnham30	Stream	sfx\towners\drunk30.wav
Farnham31	Stream	sfx\towners\drunk31.wav
Farnham32	Stream	sfx\towners\drunk32.wav
Farnham33	Stream	sfx\towners\drunk33.wav
Farnham34	Stream	sfx\towners\drunk34.wav
Farnham35	Stream	sfx\towners\drunk35.wav
Pepin1	Stream	sfx\towners\healer01.wav
Pepin2	Stream	sfx\towners\healer02.wav
Pepin3	Stream	sfx\towners\healer03.wav
Pepin4	Stream	sfx\towners\healer04.wav
Pepin5	Stream	sfx\towners\healer05.wav
Pepin6	Stream	sfx\towners\healer06.wav
Pepin7	Stream	sfx\towners\healer07.wav
Pepin8	Stream	sfx\towners\healer08.wav
Pepin9	Stream	sfx\towners\healer09.wav
Pepin10	Stream	sfx\towners\healer10.wav
Pepin11	Stream	sfx\towners\healer11.wav
Pepin12	Stream	sfx\towners\healer12.wav
Pepin13	Stream	sfx\towners\healer13.wav
Pepin14	Stream	sfx\towners\healer14.wav
Pepin15	Stream	sfx\towners\healer15.wav
Pepin16	Stream	sfx\towners\healer16.wav
Pepin17	Stream	sfx\towners\healer17.wav
Pepin18	Stream	sfx\towners\healer18.wav
Pepin19	Stream	sfx\towners\healer19.wav
Pepin20	Stream	sfx\towners\healer20.wav
Pepin21	Stream	sfx\towners\healer21.wav
Pepin22	Stream	sfx\towners\healer22.wav
Pepin23	Stream	sfx\towners\healer23.wav
Pepin24	Stream	sfx\towners\healer24.wav
Pepin25	Stream	sfx\towners\healer25.wav
Pepin26	Stream	sfx\towners\healer26.wav
Pepin27	Stream	sfx\towners\healer27.wav
Pepin28	Stream	sfx\towners\healer28.wav
Pepin29	Stream	sfx\towners\healer29.wav
Pepin30	Stream	sfx\towners\healer30.wav
Pepin31	Stream	sfx\towners\healer31.wav
Pepin32	Stream	sfx\towners\healer32.wav
Pepin33	Stream	sfx\towners\healer33.wav
Pepin34	Stream	sfx\towners\healer34.wav
Pepin35	Stream	sfx\towners\healer35.wav
Pepin36	Stream	sfx\towners\healer36.wav
Pepin37	Stream	sfx\towners\healer37.wav
Pepin38	Stream	sfx\towners\healer38.wav
Pepin39	Stream	sfx\towners\healer39.wav
Pepin40	Stream	sfx\towners\healer40.wav
Pepin41	Stream	sfx\towners\healer41.wav
Pepin42	Stream	sfx\towners\healer42.wav
Pepin43	Stream	sfx\towners\healer43.wav
Pepin44	Stream	sfx\towners\healer44.wav
Pepin45	Stream	sfx\towners\healer45.wav
Pepin46	Stream	sfx\towners\healer46.wav
Pepin47	Stream	sfx\towners\healer47.wav
Wirt1	Stream	sfx\towners\pegboy01.wav
Wirt2	Stream	sfx\towners\pegboy02.wav
Wirt3	Stream	sfx\towners\pegboy03.wav
Wirt4	Stream	sfx\towners\pegboy04.wav
Wirt5	Stream	sfx\towners\pegboy05.wav
Wirt6	Stream	sfx\towners\pegboy06.wav
Wirt7	Stream	sfx\towners\pegboy07.wav
Wirt8	Stream	sfx\towners\pegboy08.wav
Wirt9	Stream	sfx\towners\pegboy09.wav
Wirt10	Stream	sfx\towners\pegboy10.wav
Wirt11	Stream	sfx\towners\pegboy11.wav
Wirt12	Stream	sfx\towners\pegboy12.wav
Wirt13	Stream	sfx\towners\pegboy13.wav
Wirt14	Stream	sfx\towners\pegboy14.wav
Wirt15	Stream	sfx\towners\pegboy15.wav
Wirt16	Stream	sfx\towners\pegboy16.wav
Wirt17	Stream	sfx\towners\pegboy17.wav
Wirt18	Stream	sfx\towners\pegboy18.wav
Wirt19	Stream	sfx\towners\pegboy19.wav
Wirt20	Stream	sfx\towners\pegboy20.wav
Wirt21	Stream	sfx\towners\pegboy21.wav
Wirt22	Stream	sfx\towners\pegboy22.wav
Wirt23	Stream	sfx\towners\pegboy23.wav
Wirt24	Stream	sfx\towners\pegboy24.wav
Wirt25	Stream	sfx\towners\pegboy25.wav
Wirt26	Stream	sfx\towners\pegboy26.wav
Wirt27	Stream	sfx\towners\pegboy27.wav
Wirt28	Stream	sfx\towners\pegboy28.wav
Wirt29	Stream	sfx\towners\pegboy29.wav
Wirt30	Stream	sfx\towners\pegboy30.wav
Wirt31	Stream	sfx\towners\pegboy31.wav
Wirt32	Stream	sfx\towners\pegboy32.wav
Wirt33	Stream	sfx\towners\pegboy33.wav
Wirt34	Stream	sfx\towners\pegboy34.wav
Wirt35	Stream	sfx\towners\pegboy35.wav
Wirt36	Stream	sfx\towners\pegboy36.wav
Wirt37	Stream	sfx\towners\pegboy37.wav
Wirt38	Stream	sfx\towners\pegboy38.wav
Wirt39	Stream	sfx\towners\pegboy39.wav
Wirt40	Stream	sfx\towners\pegboy40.wav
Wirt41	Stream	sfx\towners\pegboy41.wav
Wirt42	Stream	sfx\towners\pegboy42.wav
Wirt43	Stream	sfx\towners\pegboy43.wav
Tremain0	Stream	sfx\towners\priest00.wav
Tremain1	Stream	sfx\towners\priest01.wav
Tremain2	Stream	sfx\towners\priest02.wav
Tremain3	Stream	sfx\towners\priest03.wav
Tremain4	Stream	sfx\towners\priest04.wav
Tremain5	Stream	sfx\towners\priest05.wav
Tremain6	Stream	sfx\towners\priest06.wav
Tremain7	Stream	sfx\towners\priest07.wav
Cain0	Stream	sfx\towners\storyt00.wav
Cain1	Stream	sfx\towners\storyt01.wav
Cain2	Stream	sfx\towners\storyt02.wav
Cain3	Stream	sfx\towners\storyt03.wav
Cain4	Stream	sfx\towners\storyt04.wav
Cain5	Stream	sfx\towners\storyt05.wav
Cain6	Stream	sfx\towners\storyt06.wav
Cain7	Stream	sfx\towners\storyt07.wav
Cain8	Stream	sfx\towners\storyt08.wav
Cain9	Stream	sfx\towners\storyt09.wav
Cain10	Stream	sfx\towners\storyt10.wav
Cain11	Stream	sfx\towners\storyt11.wav
Cain12	Stream	sfx\towners\storyt12.wav
Cain13	Stream	sfx\towners\storyt13.wav
Cain14	Stream	sfx\towners\storyt14.wav
Cain15	Stream	sfx\towners\storyt15.wav
Cain16	Stream	sfx\towners\storyt16.wav
Cain17	Stream	sfx\towners\storyt17.wav
Cain18	Stream	sfx\towners\storyt18.wav
Cain19	Stream	sfx\towners\storyt19.wav
Cain20	Stream	sfx\towners\storyt20.wav
Cain21	Stream	sfx\towners\storyt21.wav
Cain22	Stream	sfx\towners\storyt22.wav
Cain23	Stream	sfx\towners\storyt23.wav
Cain24	Stream	sfx\towners\storyt24.wav
Cain25	Stream	sfx\towners\storyt25.wav
Cain26	Stream	sfx\towners\storyt26.wav
Cain27	Stream	sfx\towners\storyt27.wav
Cain28	Stream	sfx\towners\storyt28.wav
Cain29	Stream	sfx\towners\storyt29.wav
Cain30	Stream	sfx\towners\storyt30.wav
Cain31	Stream	sfx\towners\storyt31.wav
Cain33	Stream	sfx\towners\storyt33.wav
Cain34	Stream	sfx\towners\storyt34.wav
Cain35	Stream	sfx\towners\storyt35.wav
Cain36	Stream	sfx\towners\storyt36.wav
Cain37	Stream	sfx\towners\storyt37.wav
Cain38	Stream	sfx\towners\storyt38.wav
Ogden0	Stream	sfx\towners\tavown00.wav
Ogden1	Stream	sfx\towners\tavown01.wav
Ogden2	Stream	sfx\towners\tavown02.wav
Ogden3	Stream	sfx\towners\tavown03.wav
Ogden4	Stream	sfx\towners\tavown04.wav
Ogden5	Stream	sfx\towners\tavown05.wav
Ogden6	Stream	sfx\towners\tavown06.wav
Ogden7	Stream	sfx\towners\tavown07.wav
Ogden8	Stream	sfx\towners\tavown08.wav
Ogden9	Stream	sfx\towners\tavown09.wav
Ogden10	Stream	sfx\towners\tavown10.wav
Ogden11	Stream	sfx\towners\tavown11.wav
Ogden12	Stream	sfx\towners\tavown12.wav
Ogden13	Stream	sfx\towners\tavown13.wav
Ogden14	Stream	sfx\towners\tavown14.wav
Ogden15	Stream	sfx\towners\tavown15.wav
Ogden16	Stream	sfx\towners\tavown16.wav
Ogden17	Stream	sfx\towners\tavown17.wav
Ogden18	Stream	sfx\towners\tavown18.wav
Ogden19	Stream	sfx\towners\tavown19.wav
Ogden20	Stream	sfx\towners\tavown20.wav
Ogden21	Stream	sfx\towners\tavown21.wav
Ogden22	Stream	sfx\towners\tavown22.wav
Ogden23	Stream	sfx\towners\tavown23.wav
Ogden24	Stream	sfx\towners\tavown24.wav
Ogden25	Stream	sfx\towners\tavown25.wav
Ogden26	Stream	sfx\towners\tavown26.wav
Ogden27	Stream	sfx\towners\tavown27.wav
Ogden28	Stream	sfx\towners\tavown28.wav
Ogden29	Stream	sfx\towners\tavown29.wav
Ogden30	Stream	sfx\towners\tavown30.wav
Ogden31	Stream	sfx\towners\tavown31.wav
Ogden32	Stream	sfx\towners\tavown32.wav
Ogden33	Stream	sfx\towners\tavown33.wav
Ogden34	Stream	sfx\towners\tavown34.wav
Ogden35	Stream	sfx\towners\tavown35.wav
Ogden36	Stream	sfx\towners\tavown36.wav
Ogden37	Stream	sfx\towners\tavown37.wav
Ogden38	Stream	sfx\towners\tavown38.wav
Ogden39	Stream	sfx\towners\tavown39.wav
Ogden40	Stream	sfx\towners\tavown40.wav
Ogden41	Stream	sfx\towners\tavown41.wav
Ogden43	Stream	sfx\towners\tavown43.wav
Ogden44	Stream	sfx\towners\tavown44.wav
Ogden45	Stream	sfx\towners\tavown45.wav
Adria1	Stream	sfx\towners\witch01.wav
Adria2	Stream	sfx\towners\witch02.wav
Adria3	Stream	sfx\towners\witch03.wav
Adria4	Stream	sfx\towners\witch04.wav
Adria5	Stream	sfx\towners\witch05.wav
Adria6	Stream	sfx\towners\witch06.wav
Adria7	Stream	sfx\towners\witch07.wav
Adria8	Stream	sfx\towners\witch08.wav
Adria9	Stream	sfx\towners\witch09.wav
Adria10	Stream	sfx\towners\witch10.wav
Adria11	Stream	sfx\towners\witch11.wav
Adria12	Stream	sfx\towners\witch12.wav
Adria13	Stream	sfx\towners\witch13.wav
Adria14	Stream	sfx\towners\witch14.wav
Adria15	Stream	sfx\towners\witch15.wav
Adria16	Stream	sfx\towners\witch16.wav
Adria17	Stream	sfx\towners\witch17.wav
Adria18	Stream	sfx\towners\witch18.wav
Adria19	Stream	sfx\towners\witch19.wav
Adria20	Stream	sfx\towners\witch20.wav
Adria21	Stream	sfx\towners\witch21.wav
Adria22	Stream	sfx\towners\witch22.wav
Adria23	Stream	sfx\towners\witch23.wav
Adria24	Stream	sfx\towners\witch24.wav
Adria25	Stream	sfx\towners\witch25.wav
Adria26	Stream	sfx\towners\witch26.wav
Adria27	Stream	sfx\towners\witch27.wav
Adria28	Stream	sfx\towners\witch28.wav
Adria29	Stream	sfx\towners\witch29.wav
Adria30	Stream	sfx\towners\witch30.wav
Adria31	Stream	sfx\towners\witch31.wav
Adria32	Stream	sfx\towners\witch32.wav
Adria33	Stream	sfx\towners\witch33.wav
Adria34	Stream	sfx\towners\witch34.wav
Adria35	Stream	sfx\towners\witch35.wav
Adria36	Stream	sfx\towners\witch36.wav
Adria37	Stream	sfx\towners\witch37.wav
Adria38	Stream	sfx\towners\witch38.wav
Adria39	Stream	sfx\towners\witch39.wav
Adria40	Stream	sfx\towners\witch40.wav
Adria41	Stream	sfx\towners\witch41.wav
Adria42	Stream	sfx\towners\witch42.wav
Adria43	Stream	sfx\towners\witch43.wav
Adria44	Stream	sfx\towners\witch44.wav
Adria45	Stream	sfx\towners\witch45.wav
Adria46	Stream	sfx\towners\witch46.wav
Adria47	Stream	sfx\towners\witch47.wav
Adria48	Stream	sfx\towners\witch48.wav
Adria49	Stream	sfx\towners\witch49.wav
Adria50	Stream	sfx\towners\witch50.wav
WoundedTownsman	Stream	sfx\towners\wound01.wav
Sorceror1	Stream,Sorcerer	sfx\sorceror\mage01.wav
Sorceror2	Stream,Sorcerer	sfx\sorceror\mage02.wav
Sorceror3	Stream,Sorcerer	sfx\sorceror\mage03.wav
Sorceror4	Stream,Sorcerer	sfx\sorceror\mage04.wav
Sorceror5	Stream,Sorcerer	sfx\sorceror\mage05.wav
Sorceror6	Stream,Sorcerer	sfx\sorceror\mage06.wav
Sorceror7	Stream,Sorcerer	sfx\sorceror\mage07.wav
Sorceror8	Stream,Sorcerer	sfx\sorceror\mage08.wav
Sorceror9	Stream,Sorcerer	sfx\sorceror\mage09.wav
Sorceror10	Stream,Sorcerer	sfx\sorceror\mage10.wav
Sorceror11	Stream,Sorcerer	sfx\sorceror\mage11.wav
Sorceror12	Stream,Sorcerer	sfx\sorceror\mage12.wav
Sorceror13	Sorcerer	sfx\sorceror\mage13.wav
Sorceror14	Sorcerer	sfx\sorceror\mage14.wav
Sorceror15	Sorcerer	sfx\sorceror\mage15.wav
Sorceror16	Sorcerer	sfx\sorceror\mage16.wav
Sorceror17	Sorcerer	sfx\sorceror\mage17.wav
Sorceror18	Sorcerer	sfx\sorceror\mage18.wav
Sorceror19	Sorcerer	sfx\sorceror\mage19.wav
Sorceror20	Sorcerer	sfx\sorceror\mage20.wav
Sorceror21	Sorcerer	sfx\sorceror\mage21.wav
Sorceror22	Sorcerer	sfx\sorceror\mage22.wav
Sorceror23	Sorcerer	sfx\sorceror\mage23.wav
Sorceror24	Sorcerer	sfx\sorceror\mage24.wav
Sorceror25	Sorcerer	sfx\sorceror\mage25.wav
Sorceror26	Sorcerer	sfx\sorceror\mage26.wav
Sorceror27	Sorcerer	sfx\sorceror\mage27.wav
Sorceror28	Sorcerer	sfx\sorceror\mage28.wav
Sorceror29	Sorcerer	sfx\sorceror\mage29.wav
Sorceror30	Sorcerer	sfx\sorceror\mage30.wav
Sorceror31	Sorcerer	sfx\sorceror\mage31.wav
Sorceror32	Sorcerer	sfx\sorceror\mage32.wav
Sorceror33	Sorcerer	sfx\sorceror\mage33.wav
Sorceror34	Sorcerer	sfx\sorceror\mage34.wav
Sorceror35	Sorcerer	sfx\sorceror\mage35.wav
Sorceror36	Sorcerer	sfx\sorceror\mage36.wav
Sorceror37	Sorcerer	sfx\sorceror\mage37.wav
Sorceror38	Sorcerer	sfx\sorceror\mage38.wav
Sorceror39	Sorcerer	sfx\sorceror\mage39.wav
Sorceror40	Sorcerer	sfx\sorceror\mage40.wav
Sorceror41	Sorcerer	sfx\sorceror\mage41.wav
Sorceror42	Sorcerer	sfx\sorceror\mage42.wav
Sorceror43	Sorcerer	sfx\sorceror\mage43.wav
Sorceror44	Sorcerer	sfx\sorceror\mage44.wav
Sorceror45	Sorcerer	sfx\sorceror\mage45.wav
Sorceror46	Sorcerer	sfx\sorceror\mage46.wav
Sorceror47	Sorcerer	sfx\sorceror\mage47.wav
Sorceror48	Sorcerer	sfx\sorceror\mage48.wav
Sorceror49	Sorcerer	sfx\sorceror\mage49.wav
Sorceror50	Sorcerer	sfx\sorceror\mage50.wav
Sorceror51	Stream,Sorcerer	sfx\sorceror\mage51.wav
Sorceror52	Stream,Sorcerer	sfx\sorceror\mage52.wav
Sorceror53	Stream,Sorcerer	sfx\sorceror\mage53.wav
Sorceror54	Stream,Sorcerer	sfx\sorceror\mage54.wav
Sorceror55	Stream,Sorcerer	sfx\sorceror\mage55.wav
Sorceror56	Stream,Sorcerer	sfx\sorceror\mage56.wav
Sorceror57	Sorcerer	sfx\sorceror\mage57.wav
Sorceror58	Stream,Sorcerer	sfx\sorceror\mage58.wav
Sorceror59	Stream,Sorcerer	sfx\sorceror\mage59.wav
Sorceror60	Stream,Sorcerer	sfx\sorceror\mage60.wav
Sorceror61	Stream,Sorcerer	sfx\sorceror\mage61.wav
Sorceror62	Stream,Sorcerer	sfx\sorceror\mage62.wav
Sorceror63	Stream,Sorcerer	sfx\sorceror\mage63.wav
Sorceror64	Sorcerer	sfx\sorceror\mage64.wav
Sorceror65	Sorcerer	sfx\sorceror\mage65.wav
Sorceror66	Sorcerer	sfx\sorceror\mage66.wav
Sorceror67	Sorcerer	sfx\sorceror\mage67.wav
